Date,Open,Volume,Low,High,Close
"Aug 28, 2015",224.7,31336600,220.93,235.22,231.4
"Aug 29, 2015",231.55,17142500,227.33,233.22,229.78
"Aug 30, 2015",229.9,19412600,226.25,232.07,228.76
"Aug 31, 2015",229.11,20710700,225.91,231.96,230.06
"Sep 01, 2015",230.26,20575200,226.86,231.22,228.12
"Sep 02, 2015",228.03,18760400,226.47,230.58,229.28
"Sep 03, 2015",229.32,17482000,226.67,229.6,227.18
"Sep 04, 2015",227.22,20962400,227.05,230.9,230.3
"Sep 05, 2015",230.2,20671400,229.44,236.14,235.02
"Sep 06, 2015",234.87,25473700,234.68,242.91,239.84
"Sep 07, 2015",239.93,21192200,238.72,242.11,239.85
"Sep 08, 2015",239.85,26879200,239.68,245.78,243.61
"Sep 09, 2015",243.41,23635700,237.82,244.42,238.17
"Sep 10, 2015",238.34,21215500,235.79,241.29,238.48
"Sep 11, 2015",238.33,19224700,238.33,241.17,240.11
"Sep 12, 2015",239.85,17962600,234.75,240.12,235.23
"Sep 13, 2015",235.24,18478800,229.33,235.94,230.51
"Sep 14, 2015",230.61,20997800,227.96,232.44,230.64
"Sep 15, 2015",230.49,19177800,229.82,259.18,230.3
"Sep 16, 2015",230.25,20144200,227.4,231.22,229.09
